#fractional concentration deviation
units;fcd
R; -0.9999999999994137
EGF; -0.0010326734272026576
Ra; -0.9999999999994137
R2; -1.0000000000005362
RP; -0.9999999999994137
PLCg; -0.9999999708408702
RPL; 1040.7973736357453
RPLP; -0.9999999999994137
PLCgP; 0.6593453236573766
GRb; 0.327874333967482
RG; -0.9999999999994137
SOS; 0.8867847675754443
RGS; -0.9999999999994137
GS; -0.392584739940423
Shc; 0
RSh; 0
RShP; 0
ShP; 0
RShG; 0
ShG; 0
RShGS; 0
ShGS; 0
PLCgPI; -0.4811393322483856
e1; 0.07208991594651509
eRp; -0.9999999999959338
e2; -0.019096337524819196
eplcg; 0.6276579899062248
e3; 0
eshp; 0
